datatime,acc_x,acc_y,acc_z,label,subject_id
2021-10-27 16:13:18.187500+00:00,-16,5,60,downstairs,2
2021-10-27 16:13:18.218750+00:00,-10,1,45,downstairs,2
2021-10-27 16:13:18.250000+00:00,-11,-1,41,downstairs,2
2021-10-27 16:13:18.281250+00:00,-13,-6,40,downstairs,2
2021-10-27 16:13:18.312500+00:00,-12,-8,41,downstairs,2
2021-10-27 16:13:18.343750+00:00,-13,-8,46,downstairs,2
2021-10-27 16:13:18.375000+00:00,-12,-9,48,downstairs,2
2021-10-27 16:13:18.406250+00:00,-16,-10,47,downstairs,2
2021-10-27 16:13:18.437500+00:00,-6,-11,57,downstairs,2
2021-10-27 16:13:18.468750+00:00,-10,-12,60,downstairs,2
2021-10-27 16:13:18.500000+00:00,-17,-13,61,downstairs,2
2021-10-27 16:13:18.531250+00:00,-13,-8,69,downstairs,2
2021-10-27 16:13:18.562500+00:00,-12,-3,73,downstairs,2
2021-10-27 16:13:18.593750+00:00,-22,-11,64,downstairs,2
2021-10-27 16:13:18.625000+00:00,-31,-14,71,downstairs,2
2021-10-27 16:13:18.656250+00:00,-25,-13,72,downstairs,2
2021-10-27 16:13:18.687500+00:00,-29,-14,70,downstairs,2
2021-10-27 16:13:18.718750+00:00,-42,-13,64,downstairs,2
2021-10-27 16:13:18.750000+00:00,-38,-11,65,downstairs,2
2021-10-27 16:13:18.781250+00:00,-28,-8,56,downstairs,2
2021-10-27 16:13:18.812500+00:00,-24,-3,50,downstairs,2
2021-10-27 16:13:18.843750+00:00,-8,-1,49,downstairs,2
2021-10-27 16:13:18.875000+00:00,-17,2,48,downstairs,2
2021-10-27 16:13:18.906250+00:00,-17,1,47,downstairs,2
2021-10-27 16:13:18.937500+00:00,-14,-2,45,downstairs,2
2021-10-27 16:13:18.968750+00:00,-14,-3,48,downstairs,2
2021-10-27 16:13:19+00:00,-14,-1,53,downstairs,2
2021-10-27 16:13:19.031250+00:00,-15,-2,54,downstairs,2
2021-10-27 16:13:19.062500+00:00,-14,-3,66,downstairs,2
2021-10-27 16:13:19.093750+00:00,-20,1,73,downstairs,2
2021-10-27 16:13:19.125000+00:00,-24,2,72,downstairs,2
2021-10-27 16:13:19.156250+00:00,-23,5,76,downstairs,2
2021-10-27 16:13:19.187500+00:00,-22,7,78,downstairs,2
2021-10-27 16:13:19.218750+00:00,-29,14,78,downstairs,2
2021-10-27 16:13:19.250000+00:00,-24,16,74,downstairs,2
2021-10-27 16:13:19.281250+00:00,-20,12,63,downstairs,2
2021-10-27 16:13:19.312500+00:00,-17,11,62,downstairs,2
2021-10-27 16:13:19.343750+00:00,-16,12,60,downstairs,2
2021-10-27 16:13:19.375000+00:00,-13,11,49,downstairs,2
2021-10-27 16:13:19.406250+00:00,-10,7,46,downstairs,2
2021-10-27 16:13:19.437500+00:00,-9,4,46,downstairs,2
2021-10-27 16:13:19.468750+00:00,-12,2,44,downstairs,2
2021-10-27 16:13:19.500000+00:00,-15,-2,42,downstairs,2
2021-10-27 16:13:19.531250+00:00,-15,-5,45,downstairs,2
2021-10-27 16:13:19.562500+00:00,-16,-6,47,downstairs,2
2021-10-27 16:13:19.593750+00:00,-18,-9,52,downstairs,2
2021-10-27 16:13:19.625000+00:00,-21,-10,55,downstairs,2
2021-10-27 16:13:19.656250+00:00,-23,-11,57,downstairs,2
2021-10-27 16:13:19.687500+00:00,-25,-9,61,downstairs,2
2021-10-27 16:13:19.718750+00:00,-32,-1,73,downstairs,2
2021-10-27 16:13:19.750000+00:00,-35,-1,73,downstairs,2
2021-10-27 16:13:19.781250+00:00,-38,-1,72,downstairs,2
2021-10-27 16:13:19.812500+00:00,-38,2,76,downstairs,2
2021-10-27 16:13:19.843750+00:00,-38,5,75,downstairs,2
2021-10-27 16:13:19.875000+00:00,-40,7,66,downstairs,2
2021-10-27 16:13:19.906250+00:00,-39,6,65,downstairs,2
2021-10-27 16:13:19.937500+00:00,-32,6,62,downstairs,2
2021-10-27 16:13:19.968750+00:00,-25,7,52,downstairs,2
2021-10-27 16:13:20+00:00,-20,7,46,downstairs,2
2021-10-27 16:13:20.031250+00:00,-14,7,40,downstairs,2
2021-10-27 16:13:20.062500+00:00,-13,7,39,downstairs,2
